study_id,D1,D2,D3,D4,D5,D6,D7
S001,1,0,0,0,0,0,0
S002,1,1,0,0,0,0,0
S003,1,0,0,0,0,0,0
S004,1,0,0,0,0,0,0
S005,1,0,0,0,0,0,0
S006,1,0,0,0,0,0,0
S007,1,0,0,0,0,0,0
S008,1,1,0,0,0,0,0
S009,0,1,0,0,0,0,0
S010,0,1,0,0,1,0,0
S011,1,0,0,0,0,0,0
S012,1,0,0,0,0,0,0
S013,1,0,0,0,0,0,0
S014,1,0,0,0,0,0,0
S015,1,0,0,0,0,0,0
S016,1,0,0,0,0,0,0
S017,1,0,0,0,0,0,0
S018,1,0,0,0,0,0,0
S019,1,0,0,0,0,0,0
S020,1,0,0,0,0,0,0
S021,1,0,0,0,0,0,0
S022,0,1,0,0,0,0,0
S023,0,1,0,0,0,0,0
S024,0,1,0,0,0,0,0
S025,0,1,0,1,0,0,0
S026,0,1,0,1,0,0,0
S027,0,1,0,1,0,1,0
S028,0,0,0,1,1,0,0
S029,0,0,0,1,1,0,0
S030,0,0,1,0,1,0,0
S031,0,0,1,0,0,0,0
S032,0,0,1,0,0,0,0
S033,0,0,1,0,1,0,0
S034,0,0,1,0,1,0,0
S035,0,0,1,1,0,0,0
S036,0,0,1,0,0,0,0
S037,0,0,1,0,0,0,0
S038,0,0,1,0,0,0,0
S039,0,0,0,0,1,0,0
S040,0,0,1,0,1,0,0
S041,0,0,0,0,1,0,0
S042,0,0,0,0,1,0,0
S043,0,0,0,0,1,1,0
S044,0,0,0,0,1,1,0
S045,0,0,0,0,1,1,0
S046,0,0,0,0,1,1,0
S047,0,0,0,1,0,1,0
S048,0,0,0,1,1,1,0
S049,0,0,0,1,0,1,0
S050,0,0,0,0,0,1,0
S051,0,0,0,1,0,1,0
S052,0,0,0,0,1,1,0
S053,0,0,0,0,0,1,0
S054,0,0,0,0,0,1,0
S055,0,0,0,0,1,1,0
S056,0,0,0,0,0,1,0
S057,0,0,0,0,0,1,0
S058,0,0,0,0,0,1,0
S059,0,0,0,1,0,1,0
S060,0,0,0,0,1,1,0
S061,0,0,0,0,1,0,0
S062,1,0,0,0,1,0,0
S063,0,0,0,0,0,0,1
S064,0,0,0,0,0,0,1
S065,0,0,0,0,0,0,1
S066,0,0,0,0,0,0,1
S067,0,0,0,0,0,0,1
S068,0,0,0,0,0,0,1
