study_id,source,country_or_region,evidence_type_or_design,population_data_source_or_focus,main_concept_addressed,domain_codes,relevance_to_review_question,primary_geographic_category,primary_population_system_level,source_category
S001,"Allison, 1954, Protection Afforded by Sickle-Cell Trait Against Subtertian Malarial Infection",East Africa,Foundational genetic epidemiology,Human populations in malaria-endemic settings,Sickle cell trait and malaria protection,D1,Provides early foundational evidence for the malaria-HbS relationship.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S002,"Allison, 1954, The Distribution of the Sickle-Cell Trait in East Africa and Elsewhere",East Africa and broader African relevance,Foundational population genetics,HbS distribution and malaria-endemic populations,HbS distribution and malaria selection,"D1, D2",Provides early population-level support for the malaria hypothesis.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S003,"Aidoo et al., 2002, Protective Effects of the Sickle Cell Gene Against Malaria Morbidity and Mortality",Kenya,Cohort and case-control evidence,Children in a malaria-endemic setting,HbAS protection against severe malaria and mortality,D1,Strengthens biological evidence that HbAS modifies severe malaria outcomes.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S004,"Williams et al., 2005, Sickle Cell Trait and the Risk of Plasmodium falciparum Malaria and Other Childhood Diseases",Kenya,Cohort study,Children followed in a malaria-endemic area,HbAS protection against severe P. falciparum malaria,D1,Core biological evidence for malaria-HbS interaction.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S005,"Williams et al., 2005, Negative Epistasis Between the Malaria-Protective Effects of HbAS and Alpha-Thalassaemia",Kenya,Genetic epidemiology,"Children with HbAS, alpha-thalassaemia, and co-inheritance",Epistasis among malaria-protective red cell polymorphisms,D1,Shows that malaria protection may be modified by co-inheritance of red cell variants.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S006,"Taylor et al., 2012, Haemoglobinopathies and the Clinical Epidemiology of Malaria","Global, with SSA relevance",Review,Haemoglobin variants and malaria outcomes,Haemoglobinopathy effects on malaria susceptibility and severity,D1,Synthesises malaria-HbS and wider haemoglobin variant evidence.,Global/foundational SSA-relevant,Population genetics and red-cell biology,"Reviews, synthesis, or guidance"
S007,"Taylor et al., 2013, Mechanisms of Malaria Protection by Sickle Cell Trait","Global, with SSA relevance",Mechanistic review,HbAS and malaria pathophysiology,Mechanisms of HbAS-mediated malaria protection,D1,Supports mechanistic interpretation of HbAS protection.,Global/foundational SSA-relevant,Population genetics and red-cell biology,"Reviews, synthesis, or guidance"
S008,"Piel et al., 2010, Global Distribution of the Sickle Cell Gene and Geographical Confirmation of the Malaria Hypothesis","Global, strong Africa relevance",Bayesian geostatistical mapping,HbS allele frequency and pre-intervention malaria endemicity,Geographic confirmation of malaria hypothesis,"D1, D2",Links HbS distribution to malaria ecology and historical selection.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S009,"Piel et al., 2013, Global Epidemiology of Sickle Haemoglobin in Neonates","Global, strong SSA relevance",Geostatistical modelling,Neonatal HbS frequency and estimated HbAS/HbSS births,Spatial distribution of HbS and estimated SCA births,D2,Supports spatial co-risk and SCA birth-burden planning.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S010,"Piel et al., 2013, Global Burden of Sickle Cell Anaemia in Children Under Five","Global, strong SSA relevance",Burden modelling,Children under five with SCA,Projected SCA burden and child survival implications,"D2, D5",Links expected SCA births to child survival and service need.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S011,"Modiano et al., 2001, Haemoglobin C Protects Against Clinical Plasmodium falciparum Malaria",Burkina Faso,Genetic epidemiology,Population with HbC and malaria outcomes,HbC protection against clinical malaria,D1,Shows malaria-selected haemoglobin variation beyond HbS.,West Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S012,"Mockenhaupt et al., 2004, Hemoglobin C and Resistance to Severe Malaria in Ghanaian Children",Ghana,Case-control study,Children with severe malaria and haemoglobin variants,"HbC, HbAS, and severe malaria risk",D1,Adds West African evidence on haemoglobin variants and severe malaria.,West Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S013,"Mockenhaupt et al., 2004, Alpha-Plus-Thalassaemia Protects African Children Against Severe Malaria",Ghana,Case-control study,Children with alpha-thalassaemia and malaria outcomes,Alpha-thalassaemia and severe malaria protection,D1,Supports inclusion of alpha-thalassaemia in red cell polymorphism domain.,West Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S014,"Williams et al., 2005, Both Heterozygous and Homozygous Alpha-Plus-Thalassaemias Protect Against Severe and Fatal Malaria",Kenya,Case-control genetic epidemiology,Children with alpha-thalassaemia and severe malaria outcomes,Alpha-thalassaemia and severe malaria protection,D1,Provides East African evidence on alpha-thalassaemia and severe malaria phenotypes.,East Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S015,"Ruwende et al., 1995, Natural Selection of Hemi- and Heterozygotes for G6PD Deficiency by Resistance to Severe Malaria","Africa, multicountry relevance",Genetic epidemiology,Populations with G6PD variants,G6PD deficiency and malaria protection,D1,Foundational evidence for G6PD as malaria-relevant red cell variation.,Multicountry SSA/Africa-wide,Population genetics and red-cell biology,Genetic association or mechanistic studies
